id,date,name,done
5,2023-05-14,打完星鐵主線,0
9,2023-06-03,把Outlast 2剩下的部分玩完👻,0
14,2023-06-05,玩 Franchise Half Life,0
25,2023-06-08,玩深夜放送,0
27,2023-03-05,玩ALTF4 2,0
28,2023-03-11,玩At Dead of Night,0
30,2023-05-25,玩Escape the backrooms👻,0
32,2023-06-11,玩Metro: Last Night,0
33,2023-05-17,玩Muse Dash,0
34,2023-05-24,玩party animals,0
37,2023-06-09,玩Poppy Playtime 第三章 👻,0
38,2023-06-01,玩PVZ,0
39,2023-02-05,玩RL Craft,0
40,2023-05-18,玩roblox 一個熱門rp遊戲,0
43,2023-06-21,直播同樂MC Bingo 2小時,0
45,2023-06-10,直播玩大富翁10勝利,0
47,2023-06-07,直播玩Do Not Feed the Monkeys 2099 單局解完三個籠子,0
48,2023-05-22,直播玩LOL隨機單中直到擊殺+助攻50以上,0
49,2023-05-29,直播玩project playtime,0
50,2023-06-11,直播唱何日君再來,0
56,2023-06-12,直播遊玩 完蛋！我被美女包圍了 破關,0
57,2023-05-23,直播遊玩鬥陣特攻2直到上升通行證等級20級（超過十級可累積）,0
58,2023-05-30,直播遊玩德州電鋸殺人狂擊殺10人or逃出5場,0
60,2023-05-26,直播遊玩黎明死線倖存者或殺手，直到熒虹徽章20個 (⚔️ 已完成 **4** /20個),0
61,2023-06-13,直播遊玩Bloons TD 6,0
62,2023-05-31,城市天際線2人口3萬或者解鎖高級商業區,0
64,2023-05-21,破黑暗詭計鴨子關,0
65,2023-05-19,破關死亡與稅賦,0
66,2023-05-16,破Garten of Banban 2 👻,0
67,2023-05-28,破Joyville第一章👻,0
68,2023-05-13,做出1.20所有鍛造模板的鎖鏈靴子,0
74,2023-07-02,通關《佛萊迪的五夜驚魂：安全漏洞》,0
82,2023-06-02,跟觀眾打桌遊兩小時,0
83,2023-05-27,監控圍城新增一張地圖，主題由觀眾決定,0
87,2023-06-06,釋出監控圍城2,0
89,2023-06-14,DC overcook 破紀錄,0
90,2023-05-21,display entity 做惡靈玩偶,0
94,2023-05-20,pjskmaster 拿到fullcombo,0
95,2023-05-15,Project 2M 16目標全達成,0
98,2023-06-15,valorant五連殺或四連殺一次(或三連殺三次),0
0,2023-09-10,五個觀眾出高中數學題 二十分鐘內答出來 不能作弊 超時懲罰+1,1
1,2023-05-02,水平射30格外的標靶10支箭 沒中紅心-中紅心=加的懲罰,1
2,2023-04-02,加班台+2小時,1
3,2023-04-23,加班台2小時,1
4,2023-05-11,加班台2小時,1
6,2023-03-27,用腳畫畫,1
7,2023-03-14,用變聲器直播1天,1
8,2023-04-11,把歌詞都改成喵,1
10,2023-04-12,每10分鐘嬌喘一次,1
11,2023-05-05,每隔10分鐘說一次 瑪卡巴卡,1
12,2023-03-20,抽Nitro,1
13,2023-05-03,泡一碗很辣的泡麵邊吃邊玩,1
15,2023-03-25,玩 Garten of Banban,1
16,2023-03-21,玩 Hypixel,1
17,2023-03-22,玩 Poppy Playtime,1
18,2023-03-16,玩《女鬼橋》,1
19,2023-04-20,玩1個小時only up,1
20,2023-05-09,玩一次恐怖遊戲時 死幾次下一次直播就要喵幾次,1
21,2023-03-18,玩一張恐怖地圖,1
22,2023-05-12,玩八號出口,1
23,2023-05-06,玩心跳水立方,1
24,2023-04-21,玩迷你世界,1
26,2023-02-05,玩ALTF4,1
29,2023-04-15,玩CTM大地復甦,1
31,2023-05-07,玩Hypixel陰屍路5場成功逃出,1
35,2023-03-26,玩PIEN,1
36,2023-03-31,玩Poppy Playtime 第二章,1
41,2023-04-13,玩slimemo,1
42,2023-04-24,直播不能講到d開頭的字 五次懲罰加一 加到懲罰就解禁,1
44,2023-03-30,直播兩小時Hypixel,1
46,2023-04-26,直播玩螃蟹遊戲,1
51,2023-05-04,直播唱完一首哈哈歌,1
52,2023-04-28,直播唱軌跡,1
53,2023-05-08,直播唱聽我說謝謝你,1
54,2023-04-27,直播教大家怎麼用Premiere,1
55,2023-04-29,直播禁止講跟黃色有關的東西,1
59,2023-03-29,直播遊玩踩地雷高級版直到破關,1
63,2023-03-23,計畫《監控圍城2》,1
69,2023-04-10,剪自己的嬌喘影片發DC群,1
70,2023-05-10,唱 Tunak Tunak Tun,1
71,2023-06-11,唱小蠻腰,1
72,2023-04-14,深夜台玩恐怖遊戲,1
73,2023-03-15,通過ManaCube Insane難度任一關卡,1
75,2023-04-03,通關《壺男》,1
76,2023-03-19,速通到終界2小時20分鐘,1
77,2023-04-01,開亡國之戰公共伺服器,1
78,2023-06-25,開亡國伺服器,1
79,2023-03-24,開加班台,1
80,2023-04-19,開加班台,1
81,2023-05-01,開建築大賽觀眾場,1
84,2023-03-28,錄下自己打呼的聲音 沒有聲音或太小懲罰+1,1
85,2023-04-30,懲罰五色選一個 電繪一個以那個色為主題的惡靈,1
86,2023-03-05,繼續玩ALTF4,1
88,2023-04-25,讓ChatGPT同時給小學數學、科學、文學、歷史、地理 各一題選擇題 2分鐘內沒解出來懲罰+1,1
91,2023-04-16,Hypixel 與觀眾同樂時一場內弄死所有觀眾,1
92,2023-04-22,Hypixel觀眾場2小時,1
93,2023-04-18,nitro,1
96,2023-06-25,SkyBlock 100等,1
97,2023-04-09,SkyBlock 100等,1